"","Employee","Salaries_2017","Salaries_2018","change","got_raise"
"1","Employee 1",48782.3168071918,55402.6193916798,6620.30258448794,TRUE
"2","Employee 2",46960.2247397415,45558.6548161227,-1401.56992361881,FALSE
"3","Employee 3",45392.5147047266,43959.8950685468,-1432.61963617988,FALSE
"4","Employee 4",40559.9040770903,44262.0961309876,3702.19205389731,TRUE
"5","Employee 5",42773.8235867582,39015.2372932062,-3758.58629355207,FALSE
"6","Employee 6",48203.5783980973,43578.1538358424,-4625.42456225492,FALSE
"7","Employee 7",46503.1426795758,55899.4163712487,9396.27369167283,TRUE
"8","Employee 8",41119.2357097752,46806.3976906706,5687.16198089533,TRUE
"9","Employee 9",47005.9049874544,45483.7919038255,-1522.11308362894,FALSE
"10","Employee 10",46489.7686312906,51393.4209535364,4903.65232224576,TRUE
"11","Employee 11",41072.6836207323,48697.6653465535,7624.98172582127,TRUE
"12","Employee 12",43713.3748270571,47879.5934654772,4166.2186384201,TRUE
"13","Employee 13",49966.4439354092,55853.5784215201,5887.13448611088,TRUE
"14","Employee 14",45014.5483738743,45339.3856214825,324.83724760823,TRUE
"15","Employee 15",40376.8925927579,49934.3053693883,9557.41277663037,TRUE
"16","Employee 16",45519.2410736345,49746.1607563309,4226.91968269646,TRUE
"17","Employee 17",41878.0393968336,40955.6989022531,-922.340494580567,FALSE
"18","Employee 18",45032.0614781231,48000.3799358383,2968.31845771521,TRUE
"19","Employee 19",47065.5548945069,54172.7574530523,7107.2025585454,TRUE
"20","Employee 20",45392.4292535521,43179.2959582526,-2213.13329529949,FALSE
"21","Employee 21",49879.2060674168,45665.888999356,-4213.31706806086,FALSE
"22","Employee 22",44601.1596824974,42221.62356833,-2379.53611416742,FALSE
"23","Employee 23",42507.3635717854,42978.8721143268,471.508542541414,TRUE
"24","Employee 24",49957.5870553963,49928.1674472149,-29.4196081813425,FALSE
"25","Employee 25",49248.4096367843,44847.3762709182,-4401.03336586617,FALSE
"26","Employee 26",40125.6399950944,47440.7987343147,7315.15873922035,TRUE
"27","Employee 27",44814.6294010803,52253.5350592807,7438.90565820038,TRUE
"28","Employee 28",45689.1558878124,51273.6389227211,5584.48303490877,TRUE
"29","Employee 29",48912.8801645711,44850.1442349516,-4062.73592961952,FALSE
"30","Employee 30",42885.338224005,51917.5746990368,9032.23647503182,TRUE
"31","Employee 31",48828.3893512562,50747.713042656,1919.32369139977,TRUE
"32","Employee 32",45233.5722884163,48885.2352998219,3651.66301140562,TRUE
"33","Employee 33",40589.8700095713,39156.7429504357,-1433.12705913559,FALSE
"34","Employee 34",42658.092319034,51604.5026702341,8946.41035120003,TRUE
"35","Employee 35",43286.9956409559,49664.145958377,6377.15031742118,TRUE
"36","Employee 36",42464.769014623,52215.5323484913,9750.76333386824,TRUE
"37","Employee 37",48602.1055257879,58425.5644981749,9823.45897238702,TRUE
"38","Employee 38",46756.6594434902,55906.5140387975,9149.85459530726,TRUE
"39","Employee 39",46496.7093197629,52359.0675112791,5862.35819151625,TRUE
"40","Employee 40",45266.0156274214,51209.771259455,5943.75563203357,TRUE
"41","Employee 41",46732.4679088779,54763.8071049005,8031.3391960226,TRUE
"42","Employee 42",44663.1719334982,46084.0994270984,1420.92749360017,TRUE
"43","Employee 43",43866.5638142265,39130.3627553862,-4736.20105884038,FALSE
"44","Employee 44",43559.7561392933,50570.2332535293,7010.47711423598,TRUE
"45","Employee 45",49914.6161880344,47730.302484706,-2184.31370332837,FALSE
"46","Employee 46",48282.2219864465,44096.1585228797,-4186.06346356682,FALSE
"47","Employee 47",46802.4124344811,51064.7215705831,4262.30913610198,TRUE
"48","Employee 48",40287.6569819637,40297.3471628502,9.69018088653684,TRUE
"49","Employee 49",48496.893257834,52796.7991586775,4299.90590084344,TRUE
"50","Employee 50",49730.2155499347,55409.5460881945,5679.33053825982,TRUE
"51","Employee 51",45151.1622685939,45947.5079411641,796.345672570169,TRUE
"52","Employee 52",48873.3437657356,57515.0214531459,8641.67768741027,TRUE
"53","Employee 53",41552.2629627958,49251.2123018969,7698.94933910109,TRUE
"54","Employee 54",41135.458573699,39469.9085934553,-1665.54998024367,FALSE
"55","Employee 55",48290.6672684476,45189.8671325762,-3100.8001358714,FALSE
"56","Employee 56",48284.6524333581,52499.5247926563,4214.87235929817,TRUE
"57","Employee 57",42319.9498304166,48577.5361722335,6257.58634181693,TRUE
"58","Employee 58",43686.0174313188,44642.2828384675,956.265407148749,TRUE
"59","Employee 59",44211.68763889,50812.04775488,6600.36011599004,TRUE
"60","Employee 60",48945.6399180926,48614.7173575591,-330.922560533509,FALSE
"61","Employee 61",41119.577663485,43240.4858572409,2120.90819375589,TRUE
"62","Employee 62",44607.1616560221,40301.8714836799,-4305.29017234221,FALSE
"63","Employee 63",45468.9704743214,54156.8599059246,8687.88943160325,TRUE
"64","Employee 64",47064.4718850963,55528.3303884789,8463.85850338265,TRUE
"65","Employee 65",41657.9422564246,42432.7080522198,774.765795795247,TRUE
"66","Employee 66",47487.9286787473,43157.1143993642,-4330.81427938305,FALSE
"67","Employee 67",44679.8013243824,46631.8800440058,1952.07871962339,TRUE
"68","Employee 68",41233.9363666251,43625.4032340366,2391.46686741151,TRUE
"69","Employee 69",42315.1065199636,51701.7388856038,9386.63236564025,TRUE
"70","Employee 70",42873.2303343713,40194.0584939439,-2679.17184042744,FALSE
"71","Employee 71",46039.2861161381,48213.5239662603,2174.23785012215,TRUE
"72","Employee 72",40194.7196689434,36564.7129539866,-3630.00671495683,FALSE
"73","Employee 73",45356.3077282161,49857.9091252759,4501.60139705986,TRUE
"74","Employee 74",41975.8383301087,43696.5845478699,1720.74621776119,TRUE
"75","Employee 75",43593.40114519,53082.2426301893,9488.84148499928,TRUE
"76","Employee 76",46126.927388832,51236.03700893,5109.10962009802,TRUE
"77","Employee 77",45275.4200226627,51800.3348691855,6524.91484652273,TRUE
"78","Employee 78",40663.8229149394,38599.7827397659,-2064.04017517343,FALSE
"79","Employee 79",44870.48023846,54586.8781779427,9716.3979394827,TRUE
"80","Employee 80",40726.4481601305,48426.8402447924,7700.39208466187,TRUE
"81","Employee 81",46078.7083045579,53669.4503994659,7590.74209490791,TRUE
"82","Employee 82",43329.4391212985,43806.7373237573,477.298202458769,TRUE
"83","Employee 83",42070.9388749674,44134.3789210077,2063.44004604034,TRUE
"84","Employee 84",43017.4069758505,45731.440403033,2714.03342718259,TRUE
"85","Employee 85",49456.786334049,48405.9548121877,-1050.83152186126,FALSE
"86","Employee 86",46183.865647763,47902.0790674258,1718.21341966279,TRUE
"87","Employee 87",44533.1484312192,48779.054392362,4245.90596114285,TRUE
"88","Employee 88",42688.1002425216,51619.8415821418,8931.7413396202,TRUE
"89","Employee 89",43352.3246366531,43641.0791287199,288.754492066801,TRUE
"90","Employee 90",48978.8330555893,46513.2690651808,-2465.56399040855,FALSE
"91","Employee 91",42375.6362707354,47939.7940356284,5564.15776489303,TRUE
"92","Employee 92",42933.9951043949,40452.0787054207,-2481.91639897414,FALSE
"93","Employee 93",44762.9679110833,53194.5276202168,8431.55970913358,TRUE
"94","Employee 94",48037.6568366773,47184.1508429497,-853.505993727595,FALSE
"95","Employee 95",46275.427499786,52530.8860046789,6255.45850489289,TRUE
"96","Employee 96",44094.0653835423,49998.8406256307,5904.77524208836,TRUE
"97","Employee 97",43205.1317603327,50507.2795785964,7302.14781826362,TRUE
"98","Employee 98",48337.5508151948,48862.2474542353,524.696639040485,TRUE
"99","Employee 99",47713.9593078755,57582.134186523,9868.17487864755,TRUE
"100","Employee 100",42141.3720608689,42065.219252836,-76.1528080329299,FALSE
